,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
213,72.0,MASTERS Wyn,GT FACTORY RACING,01:18.617,02:06.320,02:29.769,03:05.374,03:40.119,01:18.617,00:47.703,00:23.449,00:35.605,00:34.745,11.864,80,5.752,72,3.884,77,7.475,71,5.396,67,11.864,80,17.616,75,21.105,76,28.58,74,30.988,72
216,73.0,CARBALLO GONZALEZ Edgar,,01:16.364,02:04.528,02:28.456,03:04.388,03:40.158,01:16.364,00:48.164,00:23.928,00:35.932,00:35.770,9.611,74,6.213,73,4.363,79,7.802,74,6.421,70,9.611,74,15.824,72,19.792,74,27.594,72,31.027,73
219,74.0,NIEDERBERGER Noel,SWISS DOWNHILL SYNDICATE,01:18.601,02:07.439,02:30.312,03:06.199,03:41.099,01:18.601,00:48.838,00:22.873,00:35.887,00:34.900,11.848,79,6.887,76,3.308,72,7.757,73,5.551,68,11.848,79,18.735,78,21.648,78,29.405,77,31.968,74
222,75.0,REVELLI Loris,AB DEVINCI ITALY,01:13.912,02:09.001,02:31.999,03:05.987,03:42.699,01:13.912,00:55.089,00:22.998,00:33.988,00:36.712,7.159,59,13.138,80,3.433,73,5.858,60,7.363,72,7.159,59,20.297,79,23.335,79,29.193,76,33.568,75
225,76.0,CONNELL Joseph,SOLID REVERSE FACTORY RACING,01:12.103,01:57.711,02:19.676,02:59.236,03:42.881,01:12.103,00:45.608,00:21.965,00:39.560,00:43.645,5.35,39,3.657,46,2.4,60,11.43,78,14.296,77,5.35,39,9.007,42,11.012,43,22.442,64,33.75,76
228,77.0,STEPANEK Ondrej,,01:16.366,02:14.586,02:36.533,03:10.680,03:44.870,01:16.366,00:58.220,00:21.947,00:34.147,00:34.190,9.613,75,16.269,81,2.382,58,6.017,62,4.841,65,9.613,75,25.882,80,27.869,80,33.886,80,35.739,77
231,78.0,GUTIERREZ Rafael,,01:13.207,02:00.899,02:22.187,02:53.749,04:04.265,01:13.207,00:47.692,00:21.288,00:31.562,01:10.516,6.454,51,5.741,71,1.723,36,3.432,28,41.167,80,6.454,51,12.195,63,13.523,59,16.955,48,55.134,78
234,79.0,RUFFIN Thibaut,COMMENCAL / VALLNORD,01:37.657,02:27.273,02:51.531,03:29.773,04:04.788,01:37.657,00:49.616,00:24.258,00:38.242,00:35.015,30.904,81,7.665,77,4.693,80,10.112,76,5.666,69,30.904,81,38.569,81,42.867,81,52.979,81,55.657,79
237,80.0,LUCAS Dean,INTENSE FACTORY RACING,01:09.548,01:54.097,02:14.989,02:45.521,04:18.332,01:09.548,00:44.549,00:20.892,00:30.532,01:32.811,2.795,9,2.598,21,1.327,18,2.402,16,63.462,81,2.795,9,5.393,15,6.325,16,8.727,14,69.201,80
240,81.0,FAYOLLE Alexandre,POLYGON UR,01:11.027,01:53.569,02:26.804,03:10.559,04:18.716,01:11.027,00:42.542,00:33.235,00:43.755,01:08.157,4.274,24,0.591,2,13.67,81,15.625,80,38.808,79,4.274,24,4.865,11,18.14,70,33.765,79,69.585,81
